notice_date,reason,company,address,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
12/11/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 781-1758,Photographic equipment and Supplies,1,-----,3/9/2016,Economic,The affected  worker is not represented by a union.,Plant Layoff
1/28/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(803) 578-8188,Publishing,46,-----,to occur between 5/1/2015 and 7/31/2015,Economic,There are no bumping rights at this facility and employees are not represented by any union.,Plant Layoff
12/1/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 538-7303,Financial Institution,307,-----,to occur between 12/1/2015 through 3/31/2016,Economic,"No bumping rights exist, and employees are not represented by a union.",Plant Layoff
12/18/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(315) 349-2369,Power Plant,72,72,to occur between 3/31/2016 and 6/30/2016,Economic,International Brotherhood of Electrical Workers -  Local Union 97,Plant Closing
12/18/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 781-1758,Photographic equipment and supplies,1,-----,3/15/2016,Economic,Bumping rights do not exist.,Plant Layoff
12/17/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(646) 680-1303,Call Center,133,133,to occur between 3/15/2016 and 5/13/2016 or within 14 days of these dates,Economic,1199 SEIU United Healthcare Workers East,Plant Closing
12/14/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 781-1758,Photographic equipment and supplies,1,-----,3/12/2016,Economic,Bumping rights do not exist.,Plant Layoff
2/6/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(631) 465-6457,Home Support Services,38,38,to occur between 12/15/2015 and 12/30/2015,Sale of CHS Home Support Services to Continued Care of L.I. Inc.,None of the affected employees are represented by a union or will have “bumping” rights to other positions.,Plant Closing
8/24/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 716-0466,Passenger Handling,143,-----,11/24/2015,Contract Expiration,International Association of Machinists and Aerospace Workers,Plant Layoff
8/31/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(508) 479-3041,Dining and Housekeeping Services,41,41,2/29/2016,Loss of Contract for Services,SEIU Local 1199,Plant Closing
12/11/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 403-0050,Modular building manufacturer,54,54,3/11/2016,Economic,New York City and Vicinity District Council of Carpenters.,Plant Closing
12/8/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 761-8103,Financial services,358,-----,3/7/2016,Economic,Bumping rights are not recognized.  Terminated employees are not permitted to displace remaining employees based on seniority or any other factor.,Plant Layoff
12/11/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(202) 661-7130,Financial Services - Customer Contact Center,234,-----,to occur between 3/31/2016 and 7/31/2016,Consolidation of Services,No bumping rights exist. Associates at this site are not represented by a Union.,Plant Layoff
12/8/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(845) 368-6086,Pharmaceutical Manufacturing,60,----,7th phase of layoffs to occur during a 14-day period commencing on 3/31/2016 and ending on or about 9/30/2016.,Economic,No union representation; bumping arrangements are not available for affected  employees.,Plant Closing
12/4/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(224) 293-5571,College,171,171,to occur between 3/6/2016 and 12/31/2018,Economic,None of the affected are represented by a labor organization.,Plant Closing
12/3/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(646) 558-1187,Investment Brokerage/Dealer,79,79,to occur between 11/20/2015 and 3/15/2016,Economic,No bumping rights in connection with this action. None of the employees affected are represented by a union.,Plant Closing
12/5/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(312) 229-7823,Marketing/Advertising,28,28,12/5/2015,Economic,None,Plant Layoff
11/30/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(845) 369-8086,Financial Institution,1,-----,to occur between 2/28/2016 and 3/29/2016,Economic,There are no bumping rights.,Plant Layoff
11/30/2015,Possible Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 923-9518,Prefabricated modules manufacturing factory,218,218,may occur during the 14-day period beginning on 2/29/2016,Economic,There are no bumping rights.,Possible Plant Closing
8/24/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 716-0466,Passenger Handling,117,-----,11/24/2015,Contract Expiration,International Association of Machinists and Aerospace Workers,Plant Layoff
11/25/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(646) 313-2523,Law Offices,75,Approx 119,2/23/2016,Economic,No union involvement.,Plant Layoff
11/25/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(864) 248-2091,Restaurant,56,56,2/25/2016,Economic,Employees have no bumping rights.,Plant Closing
11/20/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 286-4572,Publishers,61,61,11/20/2015,Economic,No employees are  represented by unions and no employees have bumping rights.,Plant Closing
1/6/2015,Plant Unit Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(716) 951-7037,Health Center - Long Term Care Unit,70,70,to occur between 11/6/2015 and 11/19/2015,Sale of the facility,1199 SEIU United Healthcare Workers East,Plant Unit Closing
8/31/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(508) 479-3041,Dining and Housekeeping Services,41,41,12/31/2015,Loss of Contract for Services,SEIU Local 1199,Plant Closing
11/19/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(516) 509-7679,Machine shop,12,12,To occur between 2/19/2016 and 5/13/2016,"Relocation of manufacturing work to our operations in Ronkonkoma, New York; Mansfield, Texas; and Newington, CT","Amalgamated Industrial Toy & Novelty Workers of America, Local 223, AFL-CIO",Plant Closing
5/1/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(631) 200-6154,Vitamins and Food Supplements Manufacturer,214,214,"To occur between 7/31/2015 and 
12/18/2015 or 14 days thereafter","Transfer of business to Nellson Nutraceutical, LLC in Irwindale, CA",There are no bumping rights and the affected employees are not represented by any union.,Plant Closing
11/20/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 640-1130,Credit services,45,45,to occur between 2/19/2016 and 5/13/2016,Reorganizing,No union representation,Plant Closing
11/18/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(315) 349-2369,Power Plant,64,64,to occur between 2/22/2016 and 9/23/2016,Economic,International Brotherhood of Electrical Workers - Local Union 97,Plant Closing
8/18/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 722-6181,Monica House is a Community Residence/Single Room Occupancy (CR/SRO) transitional living residence.,26,26,12/31/2015,Building  deterioration and ongoing operating costs for repairs,Local 338 RWDSU/UFCW,Plant Closing
11/17/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(914) 941-7636 Ext 2480,Food Service,38,38,1/15/2016,Loss of contract,Non-Union,Plant Closing
11/16/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 781-1758,Photographic equipment and supplies,1,-----,2/13/2016,Economic,Bumping rights do not exist.,Plant Layoff
11/17/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(402) 323-7276,Noise Control products and systems,26,26,11/17/2015 - for 21 affected workers (5 remaining employees to be released within the next 14 business days),Economic,No bumping rights implicated.,Plant Closing
11/10/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 576-6598,Life Insurance,36,-----,to occur between 2/5/2016 and 8/30/2016,Relocate some of the company’s Information Technology Operations and finance operations,There is no union representation at this location.  Bumping arrangements are not available for affected employees.,Plant Layoff
11/10/2015,Plant  Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 576-6598,Life Insurance,23,-----,To occur  between 3/4/2016 and 9/23/2016,Relocation of some functions of the Information Technology and finance operations,Bumping arrangements are not available for affected employees.,Plant Layoff
8/11/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(315) 475-1626,Commercial Laundry Services,150,150 - in all 4 locations,11/30/2015,Chapter 11 - Possible Sale of Facility,"Local 2607, Teamsters Local 294, Chauffeurs, Teamster, Warehousemen and Helpers Local Union #529, Teamsters Local 317",Plant Closing
11/9/2015,Plant Unit Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(646) 447-0495,Front End Paper Claims Processing,101,101,2/9/2016 or within 14 days thereafter,Economic,Local 153 Office & Professional Employees International Union,Plant Unit Closing
2/6/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(631) 465-6457,Home Support Services,38,38,to occur between 11/23/2015 and 12/7/2015,Sale of CHS Home Support Services to Continued Care of L.I. Inc.,None of the affected employees are represented by a union or will have “bumping” rights to other positions.,Plant Closing
10/2/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(646) 760-0620,Insurance Provider,147,147,to occur between 11/20/2015 and 12/31/2015,Economic,There are no bumping rights and the affected employees are not represented by a union.,Plant Closing
11/5/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 781-1758,Photographic equipment and supplies,6,-----,2/2/2016,Economic,Bumping rights do not exist.,Plant Layoff
6/4/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 272-5057,Medical Technology,52,-----,Postponed to occur on 1/1/2016,Economic,"International Association of Machinists and Aerospace Workers (AFL-CIO) & International Brotherhood of Boilermakers, Iron, Shipbuilders, Blacksmiths, Forgers, and Helpers",Plant Closing
11/3/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(312) 459-5407,Members only online shopping site,63,63,To occur between 2/1/2016 and 3/31/2016,Relocating operations to Chicago,The affected employees are not represented by a union. Bumping rights do not exist.,Plant Closing
11/4/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(214) 615-2184,Restaurant,34,34,2/3/2016,Economic,No bumping rights exist.,Plant Closing
10/22/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 632-4523,Mental Health Clinic,109,109,on or after 1/31/2016,Surrendering it's OMH Clinic License,"District Council 1707, CSEAU, AFSCME, AFL-CIO and Local 215",Plant Closing
10/29/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(414) 766-6206,Metal Products Manufacturing,301,301,to occur in stages between 1/29/2016 and 6/30/2016,Relocation of operations,Bumping or transfer rights do not exist in the situation and affected employees are not represented by a labor union.,Plant Closing
