notice_date,reason,company,address,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
12/21/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(610) 574-5428,Social  services assistance for the State through the facilitation of the TANF program.,28,"40
 (total employees at the two locations)",3/31/2017,Loss of contractual agreement,The affected  workers are not represented by a Union.,Plant Closing
12/28/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(203) 351-3557,Office and R&D Center,15,-----,3/31/2017,Reorganization of operations,The affected workers are not represented by a Union.,Plant Layoff
12/27/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(706) 342-6970,Retail store,200,200,Terminations will occur during the 14-day period beginning 4/9/2017.,Economic,The affected workers are not represented by a Union.,Plant Closing
12/27/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(706) 342-6970,Retail store and Automotive Center,96,96,Terminations will occur during the 14-day period beginning 4/9/2017.,Economic,The affected workers are not represented by a Union.,Plant Closing
12/27/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(706) 342-6970,Retail store and Automotive Center,105,105,Terminations will occur during the 14-day period beginning 4/9/2017.,Economic,The affected workers are not represented by a Union.,Plant Closing
12/27/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(706) 342-6970,Retail store and Automotive Center,76,76,Terminations will occur during the 14-day period beginning 4/9/2017.,Economic,The affected workers are not represented by a Union.,Plant Closing
12/28/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(646) 710-4722,Commercial laundry service provider,141,141,1/2/2017,Unexpected collapse of the tunnel washer system.,"Local 1964 International Longshoremen's Association, AFL-CIO",Plant Closing
12/21/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(610) 574-5428,Social services assistance for the State through the facilitation of the TANF program.,27,39 (total employees at the two locations),3/31/2017,Loss of contractual agreement,The affected workers are not represented by a Union.,Plant Closing
12/13/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(212) 606-4873,Home goods retail,43,142 (total number afftected for all three sites) Thirty-three (33) of the affected workers will be transferred to either 1201 or 1220 Third Avenue site.,12/17/2016,Economic,The affected workers are not represented by a Union.,Plant Closing
12/20/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(212) 675-6275,Fitness & Recreational Sports Centers,95,238 (total employees at all four locations),12/20/2016,Economic,None of the affected workers are represented by a Union.,Plant Closing
12/16/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(814) 873-4087,Locomotive turbo charger manufacturing plant,41,41,Layoffs will begin on 4/1/2017 and continue through 5/24/2017.,Economic,The affected workers are not represented by a union.,Plant Closing
12/15/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(856) 917-3312,Real Estate Credit,80,254,"The second round of layoffs is scheduled to begin within fourteen days of March 31, 2017.",Reduction in loan originations,The affected workers are not represented by a Union.,Plant Closing
12/12/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(718) 995-7796,Travel Dining Services,122,122,3/12/2017,Cessation of concessionaire sublease agreement,UNITE HERE Local 100,Plant Closing
12/5/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(713) 386-7198,"Dining, hospitality, entertainment, and gaming",54,54,"Layoffs will  occur as of date of sale, 12/5/2016 through 4/30/2017.","Due to the acquisition, buyer is closing the Corporate office headquarters.",The affected workers are not represented by a Union.,Plant Closing
12/12/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(631) 225-1100 Ext. 333,Manufacuturers of Quality Office Products,70,70,3/11/2017,Economic,GCC/IBT-Local One-L,Plant Closing
12/6/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(305) 477-6800 Ext. 4266,"Global, supply chain services and logistics company",73,73,The expected date of separation will take place between 2/1/2017 and 4/1/2017.,Economic,The affected workers are not represented by a Union.,Plant Closing
12/6/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(513) 979-6019,Repair station and Line services for aircrafts,37,37,3/20/2017,Economic,The affected workers are not represented by a Union.,Plant Closing
12/18/2015,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(716) 560-3451,Power Plant,72,72,"to occur between 3/4/2016 and 
11/30/2016
.",Economic,International Brotherhood of Electrical Workers - Local Union 97,Plant Closing
11/18/2015,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(716) 560-3451,Power Plant,64,64,"to occur between 2/22/2016 and 
1/20/2017
.",Economic,International Brotherhood of Electrical Workers - Local Union 97,Plant Closing
8/1/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(718) 526-3442,Dairy Plant,273,273,"Employees will be separated during the 14-day period beginning on 10/30/2016. 
Nine (9) remaining employees will be separated during the 14-day period of 12/23/16 through 1/6/2017.",Economic,"Local 553, Intrernational Brotherhood of Teamsters",Plant Closing
12/2/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(203) 229-3601,Flight operations.,8,40,3/3/2017,Sale of the Corporate Air Transport hangar.,The affected workers are not represented by a Union.,Plant Closing
12/6/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(716) 661-1445,Sewing operation manufacturing products for the military.,57,57,3/10/2017,Economic,The affected workers are not represented by a Union.,Plant Closing
12/6/2016,Plant Unit Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(212) 376-5460,Provide ground travel products and services to the travel industry.,59,190,3/6/2017,Outsourcing of its Operations and Finance departments.,The affected workers are not represented by a Union.,Plant Unit Closing
12/6/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(201) 767-7070,Medical Laboratory,10,264,3/7/2017,"Relocation of certain functions to the Company’s facility in Rockleigh, New Jersey.",The affected workers are not represented by a Union.,Plant Layoff
11/30/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(917) 396-8886,Restaurant business,70,70,1/1/2017,Economic,The affected workers are not represented by a Union.,Plant Closing
11/29/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(201) 767-7070,Medical Laboratory,3,264,2/28/2017,"Relocation of certain functions to the Company’s facility in Rockleigh, New Jersey.",The affected workers are not represented by a Union.,Plant Layoff
11/29/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(201) 858-2127,Spa Operations,53,53,2/28/2017,Economic,The affected workers are not represented by a Union.,Plant Closing
11/30/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(740) 681-6381,Global marketer of tabletop and food preparation products.,38,38,"The layoffs will occur on a rolling basis on February 28, 2017, March 30, 2017, April 30, 2017, and May 15, 2017.",Economic,The affected workers are not represented by a Union.,Plant Closing
11/28/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(203) 351-3557,Office and R&D Center,2,-----,2/28/2017,Reorganization of operations,The affected workers are not represented by a union.,Plant Layoff
11/23/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(704) 206-2573,Telecommunications provider,43,43,Terminations will take place between 8/1/2016 and 12/29/2016.,"Merger with Time Warner Cable, Inc.",The affected workers are not represented by a union.,Plant Closing
3/4/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(347) 978-3980,Nursing Home,580,580,The effective date of the closing changed from 6/5/2016 to 11/30/2016.,Sale of facility to Centers Health Care,"1199 National Health and Human Services Employment Union, SEIU-UHWE and New York State Nurses Association",Plant Closing
3/4/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(347) 978-3980,Nursing Home,235,235,The effective date of the closing changed from 6/5/2016 to 11/30/2016.,Sale of facility to Centers Health Care,"1199 National Health and Human Services Employment Union, SEIU-UHWE and New York State Nurses Association",Plant Closing
11/8/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(718) 416-7526,Sample Card Manufacturer,94,94,2/11/2017,Ecomonic,United Steelworkers (USW) AFL-CIO,Plant Closing
11/17/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(516) 484-1000 ext. 5173,Media content and distribution company,65,65,Layoffs will begin on 12/31/2016 and end approximately in June 2017.,Economic,The affected workers are not represented by a Union.,Plant Closing
