notice_date,reason,company,address,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
12/26/2018,Plant Closing,"Jersey Lynne Farms, Inc.","8801 Foster Avenue  Brooklyn, NY 11236",(718) 649-6730 Ext,Wholesale Food Distributor,56,56,3/30/2019,Economic,The employees are not represented by a union.,Plant Closing
12/21/2018,Plant Layoff,"Lucky 8 TV, LLC"," 99 Hudson Street, 2nd Floor   New York, NY 10013",(347) 269-1422,Wholesale Food Distributor,56,56,"Layoffs will occur December 21, 2018 through and including approximately January 11, 2019.",Economic,The employees are not represented by a union.,Plant Layoff
12/17/2018,Plant Closing,Crothall Healthcare (Environmental Services at Crystal Run  Healthcare)," 95 Crystal Run Road   Middletown, NY 10941",(914) 426-8240,Environmental Services,20,31,11/30/2018  (10); 12/31/2018 (10),Contract Loss/End,The employees are not represented by a union.,Plant Closing
12/19/2018,Possible Plant Layoff/Closing,"Atlas Health Care Linen Services Co., LLC d/b/a Clarus Linen System","3 East Industrial Parkway  Troy, NY 12180",(716) 270-4970 Ext,Linen rental and commercial laundry service to the healthcare industry,10,10,"Potential employment separations may occur or commence as soon as
March 19, 2019 and during a period thereafter.",Acquisition/Sale,"Laundry, Dry Cleaning & Allied Workers Joint Board",Possible Plant Layoff/Closing
12/19/2018,Possible Plant Layoff/Closing,Globe Metallurgical Inc. (a subsidiary of Ferroglobe PLC)," 3807 Highland Avenue   Niagara Falls, NY 14305",(716) 278-6105,Linen rental and commercial laundry service to the healthcare industry,10,10,"Potential employment separations may occur or commence as soon as
March 19, 2019 and during a period thereafter.",Acquisition/Sale,"Local 9436-5  United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied  Industrial and Service Workers International Union (USW).",Plant Closing
12/19/2018,Possible Plant Layoff/Closing,"Atlas Health Care Linen Services Co., LLC d/b/a Clarus Linen System","414 West Taylor Street  Syracuse, NY 13202",(716) 270-4970 Ext,Linen rental and commercial laundry service to the healthcare industry,161,161,"Potential employment separations may occur or commence as soon as
March 19, 2019 and during a period thereafter.",Acquisition/Sale,"Rochester Regional Joint Board, Workers United, an affiliate of SEIU and Teamsters Local 294",Possible Plant Layoff/Closing
12/19/2018,Possible Plant Layoff/Closing,"Atlas Health Care Linen Services Co., LLC d/b/a Clarus Linen System","60 Grider Street  Buffalo, NY 14215",(716) 270-4970 Ext,Linen rental and commercial laundry service to the healthcare industry,146,146,"Potential employment separations may occur or commence as soon as
March 19, 2019 and during a period thereafter.",Acquisition/Sale,"Rochester Regional Joint Board, Local 51 and International Union of Operating Engineers, Local 17-175, AFL-CIO",Possible Plant Layoff/Closing
12/19/2018,Possible Plant Layoff/Closing,"Centerstone Linen Services, LLC d/b/a Clarus Linen System","60 Grider Street  Buffalo, NY 14215",(716) 270-4970 Ext,Linen rental and commercial laundry service to the healthcare industry,24,24,"Potential employment separations may occur or commence as soon as March 19, 2019 and during a period thereafter.",Acquisition/Sale,The employees are not represented by a union.,Possible Plant Layoff/Closing
12/20/2018,Plant Closing,DJDatARLOnomad LLC dba Massoni (at Arlo NOMAD),"11 East 31st Street  New York, NY 10016",(917) 509-2925,Restaurant,51,51,1/31/2019,Other,The employees are not represented by a union.,Plant Closing
10/9/2018,Plant Closing,"Ivy Enterprises, Inc.","(Warehouse) 3 Seaview Blvd Port Washington, NY 11050",(516) 625-9292,"Fingernails, Artificial Business",17,132,3/22/2019,Relocation,The employees are not represented by a union.,Plant Closing
10/17/2018,Plant Closing,"Ingenious Designs LLC, a wholly-owned subsidiary of the Home Shopping Network","(Warehouse/distribution and office functions)  2060 9th Avenue  Ronkonkoma, NY 11779",(727) 872-5315,Warehouse/distribution center and office functions for Joy Mangano and other household products,66,66,"Layoffs will occur during a 14-day period starting on 12/28/2018, 1/18/2019 and 2/28/2019.  
Fourteen (14) of the employment separations are now expected to occur on 3/1/2019 or during the 14-day period beginning on 3/1/2019.",Economic,The employees are not represented by a union.,Plant Closing
9/21/2018,Plant Closing,Royal Industries,"225 25th Street  Brooklyn, NY 11232",(718) 369-3046 Ext,Manufacturers of vinyl Advertising Specialties and Vinyl Packaging,77,77,Individual employees who do not accept a transfer will be terminated during the 14-day period commencing on 1/11/2019 and ending on 1/24/2019.,Relocation,UFCW Local 312,Plant Closing
11/28/2018,Plant Layoff,Barclays Services Corp.,"(Chief Operating Office teams) 745 Seventh Avenue  New York, NY 10019",(212) 526-5862,Investment bank,64,5242,"The second wave of separations are scheduled to begin on February 27, 2019 and be completed by March 31, 2019.",Relocation,The employees are not represented by a union.,Plant Layoff
12/11/2018,Plant Closing,Hudson Bar @ Hudson Hotel,"358 West 58th Street  New York, NY 10019",(212) 554-6400,Food services,9,9,3/11/2019,Economic,"New York Hotel & Motel Trades Council, AFL-CIO Local 6",Plant Closing
12/17/2018,Plant Closing,Celmatix Inc. (Operations Office),"14 Wall Street  New York, NY 10005",(917) 371-2506,Biotechnology company,48,48,"Employment terminations are expected to take place on February 1, 2019 or within the 2-week period beginning February 1, 2019.",Economic,The employees are not represented by a union.,Plant Closing
7/13/2018,Plant Closing,"Gourmet Management Corp. (TGI Fridays, KFC, Taco Bell, Pizza Hut, Haagen Dazs, Tim Hortons & Beer Cart Restaurants located at the Restaurant Complex on the Amtrak level of Penn Station)","560 Fifth Avenue, 3rd Floor New York, NY 10036",(212) 560-1658,Restaurants,86,86,Layoffs postponed from a 14-day period beginning on 12/31/2018 to a 14-day period beginning on 1/31/2019.,End of Lease,The employees are not represented by a union.,Plant Closing
12/13/2018,Plant Closing,CBS EcoMedia Inc.,"28 East 28th Street New York, NY 10016",(212) 975-0555,"Advertising services for education, health and wellness, and environmental sustainability areas",32,32,3/15/2019,Other,The employees are not represented by a union.,Plant Closing
11/15/2018,Plant Closing,"Fieldbrook Foods Corporation's subsidiary Washburn's Dairy, Inc.","145 North Main Street  Gloversville, NY 12078","(716) 366-5400, Ext",Ice Cream and Frozen Dessert Manufacturing,34,34,"All employees at the Facility will be separated effective November 30, 2018.",Economic,The employees are not represented by a union.,Plant Closing
12/3/2018,Plant Closing,"Cortland Pump and Equipment, Inc.","842 Bennie Rd.  Cortland, NY 13045","(315) 446-0125, Ext","Sales, parts, installations, service - serving the petroleum industry",14,14,"Employee separations begin on March 3, 2019 and on various dates through April 7, 2019.",Economic,The employees are not represented by a union.,Plant Closing
12/5/2018,Plant Layoff,Iowa Consultants Inc. (Manhattan Plaza Inc.),"482 West 43rd Street  New York, NY 10036",(212) 563-7001 Ext,Fitness and recreational sports facilities,146,146,"Separations from employment begin March 1, 2019 and will continue through and until no later than March 7, 2019.",Restructuring,The employees are not represented by a union.,Plant Layoff
9/28/2018,Plant Layoff,The Research Foundation for the State University of New York,"Buffalo State Campus 1300 Elmwood Avenue Buffalo, NY 14222",(716) 878-4091,Education research,11,79,12/31/2018; 3 on 1/31/2019; one on 3/6/2019; and one on 3/29/2019,Contract Loss/End,The employees are not represented by a union.,Plant Layoff
12/4/2018,Plant Layoff,"Fullscreen, Inc.","315 Park Avenue South, 6th Floor  New York, NY 10010",(310) 740-9530,Company research & investing information,13,71,"The layoffs will occur on or about December 4, 2018 or within the two-week period thereafter.",Economic,The employees are not represented by a union.,Plant Layoff
12/5/2018,Plant Closing,"New Era Cap Co., Inc.","8061 Erie Road  Derby, NY 14047",(716) 604-9000 Ext. 1419,"Manufactures headwear, apparel, and accessories for men, women, youth, and kids",216,216,"Employees will be separated during the 14-day period of March 15, 2019 through March 29, 2019.",Economic,"Local 14177, Communications Workers of America",Plant Closing
12/3/2018,Plant Closing,"Pfizer, Inc.","64 Maple Street  Rouses Point, NY 12979",(212) 733-2110,Pharmaceuticals (production),3,15,"The separations will occur March 1, 2019.",Economic,International Chemical Workers Union/UFCW Local 95c,Plant Closing
