year notice was documented,notice_date,company,business_type,dislocation,classification
2015,12/11/2015,Eastman Kodak Company (Kodak  Office),Photographic equipment and Supplies,Economic,Plant Layoff
2015,1/28/2015,Eastman Kodak Company (Kodak  Office),Publishing,Economic,Plant Layoff
2015,12/1/2015,Eastman Kodak Company (Kodak  Office),Financial Institution,Economic,Plant Layoff
2015,12/18/2015,Eastman Kodak Company (Kodak  Office),Power Plant,Economic,Plant Closing
2015,12/18/2015,Eastman Kodak Company (Kodak  Office),Photographic equipment and supplies,Economic,Plant Layoff
2015,12/17/2015,Eastman Kodak Company (Kodak  Office),Call Center,Economic,Plant Closing
2015,12/14/2015,Eastman Kodak Company (Kodak  Office),Photographic equipment and supplies,Economic,Plant Layoff
2015,2/6/2015,Eastman Kodak Company (Kodak  Office),Home Support Services,Acquisition/Sale,Plant Closing
2015,8/24/2015,Eastman Kodak Company (Kodak  Office),Passenger Handling,Contract Loss/End,Plant Layoff
2015,8/31/2015,Eastman Kodak Company (Kodak  Office),Dining and Housekeeping Services,Contract Loss/End,Plant Closing
2015,12/11/2015,Eastman Kodak Company (Kodak  Office),Modular building manufacturer,Economic,Plant Closing
2015,12/8/2015,Eastman Kodak Company (Kodak  Office),Financial services,Economic,Plant Layoff
2015,12/11/2015,Eastman Kodak Company (Kodak  Office),Financial Services - Customer Contact Center,Operations,Plant Layoff
2015,12/8/2015,Eastman Kodak Company (Kodak  Office),Pharmaceutical Manufacturing,Economic,Plant Closing
2015,12/4/2015,Eastman Kodak Company (Kodak  Office),College,Economic,Plant Closing
2015,12/3/2015,Eastman Kodak Company (Kodak  Office),Investment Brokerage/Dealer,Economic,Plant Closing
2015,12/5/2015,Eastman Kodak Company (Kodak  Office),Marketing/Advertising,Economic,Plant Layoff
2015,11/30/2015,Eastman Kodak Company (Kodak  Office),Financial Institution,Economic,Plant Layoff
2015,11/30/2015,Eastman Kodak Company (Kodak  Office),Prefabricated modules manufacturing factory,Economic,Possible Plant Closing
2015,8/24/2015,Eastman Kodak Company (Kodak  Office),Passenger Handling,Contract Loss/End,Plant Layoff
2015,11/25/2015,Eastman Kodak Company (Kodak  Office),Law Offices,Economic,Plant Layoff
2015,11/25/2015,Eastman Kodak Company (Kodak  Office),Restaurant,Economic,Plant Closing
2015,11/20/2015,Eastman Kodak Company (Kodak  Office),Publishers,Economic,Plant Closing
2015,1/6/2015,Eastman Kodak Company (Kodak  Office),Health Center - Long Term Care Unit,Acquisition/Sale,Plant Unit Closing
2015,8/31/2015,Eastman Kodak Company (Kodak  Office),Dining and Housekeeping Services,Contract Loss/End,Plant Closing
2015,11/19/2015,Eastman Kodak Company (Kodak  Office),Machine shop,Relocation,Plant Closing
2015,5/1/2015,Eastman Kodak Company (Kodak  Office),Vitamins and Food Supplements Manufacturer,Transfer,Plant Closing
2015,11/20/2015,Eastman Kodak Company (Kodak  Office),Credit services,Restructuring,Plant Closing
2015,11/18/2015,Eastman Kodak Company (Kodak  Office),Power Plant,Economic,Plant Closing
