year notice was documented,notice_date,company,business_type,dislocation,classification
2018,12/26/2018,"Jersey Lynne Farms, Inc.",Whole  Food Distributor,Economic,Plant Closing
2018,12/21/2018,"Lucky 8 TV, LLC",Whole  Food Distributor,Economic,Plant Layoff
2018,12/17/2018,Crothall Healthcare (Environmental Services at Crystal Run  Healthcare),Environmental Services,Contract Loss/End,Plant Closing
2018,12/19/2018,"Atlas Health Care Linen Services Co., LLC d/b/a Clarus Linen System",Linen rental and commercial laundry service to the healthcare industry,Acquisition/Sale,Possible Plant Layoff/Closing
2018,12/19/2018,Globe Metallurgical Inc. (a subsidiary of Ferroglobe PLC),Linen rental and commercial laundry service to the healthcare industry,Acquisition/Sale,Plant Closing
2018,12/19/2018,"Atlas Health Care Linen Services Co., LLC d/b/a Clarus Linen System",Linen rental and commercial laundry service to the healthcare industry,Acquisition/Sale,Possible Plant Layoff/Closing
2018,12/19/2018,"Atlas Health Care Linen Services Co., LLC d/b/a Clarus Linen System",Linen rental and commercial laundry service to the healthcare industry,Acquisition/Sale,Possible Plant Layoff/Closing
2018,12/19/2018,"Centerstone Linen Services, LLC d/b/a Clarus Linen System",Linen rental and commercial laundry service to the healthcare industry,Acquisition/Sale,Possible Plant Layoff/Closing
2018,12/20/2018,DJDatARLOnomad LLC dba Massoni (at Arlo NOMAD),Restaurant,Other,Plant Closing
2018,10/9/2018,"Ivy Enterprises, Inc.","Fingernails, Artificial Business",Relocation,Plant Closing
2018,10/17/2018,"Ingenious Designs LLC, a wholly-owned subsidiary of the Home Shopping Network",Warehouse/distribution center and office functions for Joy Mangano and other household products,Economic,Plant Closing
2018,9/21/2018,Royal Industries,Manufacturers of vinyl Advertising Specialties and Vinyl Packaging,Relocation,Plant Closing
2018,11/28/2018,Barclays Services Corp.,Investment bank,Relocation,Plant Layoff
2018,12/11/2018,Hudson Bar @ Hudson Hotel,Food services,Economic,Plant Closing
2018,12/17/2018,Celmatix Inc. (Operations Office),Biotechnology company,Economic,Plant Closing
