year notice was documented,notice_date,company,business_type,dislocation
2020,4/27/2020,"Spirit & Sanzone Distributors Co., Inc.",Wine Whole r,Acquisition/Sale
2020,4/27/2020,"Other Spirit & Sanzone Distributors Co., Inc.",Wine Whole r,Acquisition/Sale
2020,4/8/2020,"Stellar Printing, Inc.",Commercial Printing,Acquisition/Sale
2020,1/13/2020,"Opening Ceremony, LLC",an American clothing brand and retailer,Acquisition/Sale
2020,3/27/2020,Jet Sanitation Services Corp.,Sanitation,Acquisition/Sale
2020,3/18/2020,"Allied Waste Services of North America, LLC",Waste disposal and removal services,Acquisition/Sale
2020,12/5/2019,"Quality Frozen Foods, Inc.",Whole  grocer,Acquisition/Sale
2020,2/11/2020,Strauss Paper Co.,Whole  distributor of Janitorial and Industrial Supplies,Acquisition/Sale
2020,2/6/2020,"GNYHA Management Corporation (Acurity, Inc. and Nexera, Inc. businesses)",Leading  healthcare improvement company,Acquisition/Sale
2020,2/6/2020,"GNYHA Management Corporation (Acurity, Inc. and Nexera, Inc. businesses)",Leading healthcare improvement company,Acquisition/Sale
2020,1/13/2020,"Opening Ceremony, LLC",An American clothing brand and retailer,Acquisition/Sale
2020,1/24/2020,"Siemens Government Technologies, Inc. (formerly Dresser Rand)",Manufacturer of air & gas compressors,Acquisition/Sale
2019,12/5/2019,"Quality Frozen Foods, Inc.",Whole  grocer,Acquisition/Sale
2019,12/2/2019,"Featherstone Foods, Inc.",Food products supplier,Acquisition/Sale
2019,10/1/2019,"Isabella Visiting Care, Inc.",Licensed home care agency,Acquisition/Sale
2019,10/1/2019,"BINS Holdings, LLC fka BASIS Independent Schools, LLC (Manhattan)","National network of PreK-12 private, secular schools",Acquisition/Sale
2019,8/1/2018,CenterLight Certified Home Health Agency (CHHA),Home Health Care,Acquisition/Sale
2019,2/27/2019,"Maryhaven Center of Hope, Inc. (Vocational Rehabilitation and Day Habilitation Transportation Services Dept.)",Vocational Rehabilitation and Day Habilitation Transportation Services Dept.,Acquisition/Sale
2019,2/15/2019,"The Robert Allen Duralee Group, Inc.",Luxury home décor,Acquisition/Sale
2019,1/10/2019,Aveda Institute Inc.,Beauty school,Acquisition/Sale
2018,12/19/2018,"Atlas Health Care Linen Services Co., LLC d/b/a Clarus Linen System",Linen rental and commercial laundry service to the healthcare industry,Acquisition/Sale
2018,12/19/2018,Globe Metallurgical Inc. (a subsidiary of Ferroglobe PLC),Linen rental and commercial laundry service to the healthcare industry,Acquisition/Sale
2018,12/19/2018,"Atlas Health Care Linen Services Co., LLC d/b/a Clarus Linen System",Linen rental and commercial laundry service to the healthcare industry,Acquisition/Sale
2018,12/19/2018,"Atlas Health Care Linen Services Co., LLC d/b/a Clarus Linen System",Linen rental and commercial laundry service to the healthcare industry,Acquisition/Sale
2018,12/19/2018,"Centerstone Linen Services, LLC d/b/a Clarus Linen System",Linen rental and commercial laundry service to the healthcare industry,Acquisition/Sale
2018,11/7/2018,Broadcom Inc.,"Global technology leader that designs, develops and supplies semiconductor and infrastructure software solutions.",Acquisition/Sale
2018,11/2/2018,"Reproductive Specialists of New York, LLP",Treating patients with fertility problems,Acquisition/Sale
2018,10/10/2018,"Federated Payment Systems, LLC",Provider of credit card processing solutions,Acquisition/Sale
2018,10/2/2018,"Murray Hill Medical Group, P.C.",Medical Services,Acquisition/Sale
2018,9/28/2018,Sterling National Bank,Financial Institution,Acquisition/Sale
2018,9/19/2018,Sterling National Bank,Financial Institution,Acquisition/Sale
2018,9/17/2018,"Barron's Educational Series, Inc.",Educational services,Acquisition/Sale
2018,9/6/2018,Sterling National Bank,Financial Institution,Acquisition/Sale
